[11/7/2023, 11:34:47 AM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 11:34:47 AM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 11:34:47 AM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 11:34:47 AM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 11:34:47 AM] | Method: GET | URL: /swagger-ui.css | Time Taken: 3ms
[11/7/2023, 11:34:47 AM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 11:34:47 AM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 11:34:47 AM] | Method: GET | URL: / | Time Taken: 2ms
[11/7/2023, 11:34:47 AM] | Method: GET | URL: /swagger-ui.css | Time Taken: 2ms
[11/7/2023, 11:34:47 AM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 11:34:47 AM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 11:34:47 AM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 11:34:47 AM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 2ms
[11/7/2023, 11:34:50 AM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 11:34:50 AM] | Method: GET | URL: /swagger-ui.css | Time Taken: 3ms
[11/7/2023, 11:34:50 AM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 11:34:50 AM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 11:34:50 AM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 11:34:50 AM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 11:35:42 AM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 11:35:42 AM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 11:35:42 AM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 1ms
[11/7/2023, 11:35:42 AM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 11:35:42 AM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 4ms
[11/7/2023, 11:35:42 AM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 11:35:44 AM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 11:35:44 AM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 11:35:44 AM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 11:35:44 AM] | Method: GET | URL: /swagger-ui.css | Time Taken: 2ms
[11/7/2023, 11:35:44 AM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 11:35:44 AM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 2ms
[11/7/2023, 12:15:41 PM] | Method: GET | URL: / | Time Taken: 12ms
[11/7/2023, 12:15:41 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 4ms
[11/7/2023, 12:15:41 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:15:41 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 5ms
[11/7/2023, 12:15:41 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 4ms
[11/7/2023, 12:15:41 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 2ms
[11/7/2023, 12:15:43 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:15:43 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 2ms
[11/7/2023, 12:15:43 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 1ms
[11/7/2023, 12:15:43 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:15:43 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 12:15:43 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:15:44 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:15:44 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:15:44 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 2ms
[11/7/2023, 12:15:44 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:15:44 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 12:15:44 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 2ms
[11/7/2023, 12:15:45 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:15:45 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:15:45 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 1ms
[11/7/2023, 12:15:45 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 2ms
[11/7/2023, 12:15:45 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 4ms
[11/7/2023, 12:15:45 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 3ms
[11/7/2023, 12:15:45 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:15:45 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:15:45 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:15:45 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 12:15:45 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 12:15:46 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:15:46 PM] | Method: GET | URL: / | Time Taken: 2ms
[11/7/2023, 12:15:46 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:15:46 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:15:46 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:15:46 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:15:46 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:15:47 PM] | Method: GET | URL: / | Time Taken: 7ms
[11/7/2023, 12:15:47 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 5ms
[11/7/2023, 12:15:47 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 12:15:47 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 5ms
[11/7/2023, 12:15:47 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 5ms
[11/7/2023, 12:15:47 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:26 PM] | Method: GET | URL: / | Time Taken: 62ms
[11/7/2023, 12:19:26 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 4ms
[11/7/2023, 12:19:26 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 12:19:26 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 12:19:26 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 12:19:26 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 2ms
[11/7/2023, 12:19:27 PM] | Method: GET | URL: / | Time Taken: 2ms
[11/7/2023, 12:19:27 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:19:27 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 12:19:27 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:19:27 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 12:19:27 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:28 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:19:28 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 4ms
[11/7/2023, 12:19:28 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:28 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 12:19:28 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 12:19:28 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:29 PM] | Method: GET | URL: / | Time Taken: 2ms
[11/7/2023, 12:19:29 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:19:29 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:29 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:19:29 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:19:29 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:29 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:19:29 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:29 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 12:19:29 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 3ms
[11/7/2023, 12:19:29 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:19:29 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 0ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: / | Time Taken: 2ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 3ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 4ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 3ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 5ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 4ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 4ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 1ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
